"relevance.w","endog.w","RMSE.BIC.avg","RMSE.AIC.avg","RMSE.HQ.avg","RMSE.FMSC.avg"
0.3,0.2,0.370015238056494,0.309120709776505,0.3310230345294,0.31112543868257
0.4,0.2,0.353593574249833,0.302941383014725,0.321912462274674,0.319583052076787
0.5,0.2,0.318461479626439,0.28508592179204,0.297428839438879,0.314572887997863
0.6,0.2,0.290763917485326,0.274245389368473,0.279796068896041,0.301333520249124
0.7,0.2,0.271699089430519,0.272391539349654,0.270829238166203,0.282694204409833
0.8,0.2,0.244180251446422,0.256268516540803,0.24955159415564,0.268290145383911
0.9,0.2,0.228688916767762,0.249447496514998,0.2388890810512,0.254845942559569
1,0.2,0.211752660526364,0.237856638894072,0.224801197781196,0.243140227308922
1.1,0.2,0.19956321965885,0.231322811403567,0.216133694425993,0.226075651926599
1.2,0.2,0.185071889719898,0.228484998945038,0.20842402303903,0.216930040356343
1.3,0.2,0.181310237603597,0.233171546936307,0.209954309706077,0.206505931898437
0,0.25,0.312757162426777,0.286353826469696,0.2961988020727,0.267605898611966
0.1,0.25,0.293153837036693,0.273313912326105,0.279037757218603,0.265857921280679
0.2,0.25,0.337975700739011,0.284959435484438,0.300791224619626,0.26826327974088
0.3,0.25,0.381988095636349,0.31177945405952,0.335432630383184,0.289398631861401
0.4,0.25,0.381199187659772,0.314228949007495,0.338387861571953,0.310590948962357
0.5,0.25,0.356078346959925,0.30020413982557,0.320948035758035,0.319949447403543
0.6,0.25,0.341024207014011,0.304641556598302,0.31837376815514,0.326036788253951
0.7,0.25,0.307592037622867,0.283420484525104,0.291999326478709,0.309074563476608
0.8,0.25,0.282110601587122,0.271297650908474,0.274127166495208,0.296239796787372
0.9,0.25,0.266503615351921,0.266358188010672,0.264709167901085,0.28132768623897
1,0.25,0.244986758601825,0.256361262662352,0.250304595092014,0.264350445568574
1.1,0.25,0.230150243214078,0.252072171544835,0.240609133169096,0.249324825169154
1.2,0.25,0.212342276205109,0.234884728979202,0.22298183455706,0.234502224611905
1.3,0.25,0.198801811611028,0.232125956738078,0.216026211266404,0.22432546654091
0,0.3,0.327739163417653,0.298418988974413,0.309490909974219,0.273141625028486
0.1,0.3,0.294317533996821,0.273774065767103,0.279982483314414,0.265379744739975
0.2,0.3,0.347099635126306,0.30119501954943,0.314620511132849,0.277209145517918
0.3,0.3,0.381506694544036,0.306705221358515,0.330854743593785,0.280879684905597
0.4,0.3,0.393688247184335,0.315180325250691,0.341743072893597,0.300986752645637
0.5,0.3,0.383918073520206,0.313029788439584,0.338673002834399,0.317925107458093
0.6,0.3,0.367831062568121,0.311875373134448,0.332814911849561,0.326358623007347
0.7,0.3,0.339552297439266,0.294447468583646,0.311179984477859,0.320878653030618
0.8,0.3,0.314060347951196,0.283396136763707,0.294184212759053,0.307861534079822
0.9,0.3,0.294786221372759,0.279923499155044,0.284369884970482,0.299884458038798
1,0.3,0.279172449653186,0.273460331787342,0.274385126442556,0.284383461411667
1.1,0.3,0.257643040022645,0.265619695004311,0.259719382075504,0.272282948266277
1.2,0.3,0.254833586034619,0.269744827956807,0.261845821306714,0.261547809749727
1.3,0.3,0.228521935554276,0.2471218289627,0.237098615460555,0.244965640870854
0,0.35,0.323831580631018,0.29107712265719,0.302809309766062,0.270204710506473
0.1,0.35,0.308925940220026,0.284920783967263,0.292651409088439,0.269705184037587
0.2,0.35,0.339503828592104,0.28992816945666,0.304643143506167,0.272143513601539
0.3,0.35,0.368837556650128,0.296439739395843,0.318806823372771,0.267924650220643
0.4,0.35,0.3997202214085,0.317280525095726,0.344916007587306,0.295991737314719
0.5,0.35,0.411986338573054,0.331585475008737,0.35966120021734,0.309618134758483
0.6,0.35,0.396107758992969,0.324649326815188,0.350846180722942,0.32243549103468
0.7,0.35,0.37027635925202,0.311714477982117,0.333434023163227,0.328021940617003
0.8,0.35,0.347205938832375,0.300585625471662,0.318063917251258,0.322965080166225
0.9,0.35,0.323758456933888,0.290592033173259,0.302105728858418,0.31295196651396
1,0.35,0.303910953002856,0.282112560653416,0.289279440909867,0.298308060039432
1.1,0.35,0.282655658685847,0.270294324283546,0.273041761761993,0.289649452360043
1.2,0.35,0.272712716240642,0.274021884699789,0.271416115947311,0.280339013822469
1.3,0.35,0.257083239322504,0.256624672842188,0.254758658052587,0.26452402187543
0,0.4,0.336265951941003,0.299156759052311,0.312393850762791,0.27428681985727
0.1,0.4,0.325606883429724,0.286386607429048,0.299433489225298,0.268987882790855
0.2,0.4,0.342665303144,0.291386014782676,0.305605095354881,0.27346574443862
0.3,0.4,0.375575343044469,0.305992603555822,0.3265859551404,0.279849826163298
0.4,0.4,0.397547474855091,0.311948875490902,0.339667163898602,0.2833411857357
0.5,0.4,0.411220159077814,0.319040316686208,0.350529240871215,0.292125465040079
0.6,0.4,0.411362307250641,0.326058708412631,0.35638759162245,0.313250325005021
0.7,0.4,0.392979309551944,0.321206671119783,0.347133905439091,0.323318633653474
