"relevance.w","endog.w","RMSE","RMSE1","COVERAGE","COVERAGE1","FMSC.BIAS","FMSC.RMSE","FMSC.COVERAGE","FMSC.CORRECT","GMM.BIC.BIAS","GMM.BIC.RMSE","GMM.BIC.COVERAGE","GMM.BIC.CORRECT","GMM.AIC.BIAS","GMM.AIC.RMSE","GMM.AIC.COVERAGE","GMM.AIC.CORRECT","GMM.HQ.BIAS","GMM.HQ.RMSE","GMM.HQ.COVERAGE","GMM.HQ.CORRECT","CC.BIC.BIAS","CC.BIC.RMSE","CC.BIC.COVERAGE","CC.BIC.CORRECT","CC.AIC.BIAS","CC.AIC.RMSE","CC.AIC.COVERAGE","CC.AIC.CORRECT","CC.HQ.BIAS","CC.HQ.RMSE","CC.HQ.COVERAGE","CC.HQ.CORRECT","CC.MSC.BIC.BIAS","CC.MSC.BIC.RMSE","CC.MSC.BIC.COVERAGE","CC.MSC.BIC.CORRECT","CC.MSC.AIC.BIAS","CC.MSC.AIC.RMSE","CC.MSC.AIC.COVERAGE","CC.MSC.AIC.CORRECT","CC.MSC.HQ.BIAS","CC.MSC.HQ.RMSE","CC.MSC.HQ.COVERAGE","CC.MSC.HQ.CORRECT","J.90.BIAS","J.90.RMSE","J.90.COVERAGE","J.90.CORRECT","J.95.BIAS","J.95.RMSE","J.95.COVERAGE","J.95.CORRECT"
1,0,0.140738834619021,0.630786473792509,0.9331,0.9912,0.114324170144729,0.310421162947244,0.9083,0.8345,0.0888568116478273,0.45773716888019,0.9216,0.8549,0.130943603307105,0.563047883265263,0.9071,0.6893,0.11439262723186,0.517944247863477,0.9135,0.7689,0.0232211418803301,0.140738834619021,0.9331,1,0.0232211418803301,0.140738834619021,0.9331,1,0.0232211418803301,0.140738834619021,0.9331,1,0.0888568116478273,0.45773716888019,0.9216,0.8549,0.130943603307105,0.563047883265263,0.9071,0.6893,0.11439262723186,0.517944247863477,0.9135,0.7689,0.0774120450907825,0.371607426315618,0.9317,0.8503,0.0578008549965435,0.314592024277461,0.9315,0.9159
1.1,0,0.13076100306841,0.589899965421998,0.9282,0.9884,0.101823237650396,0.293760115316464,0.8971,0.8375,0.0799217454944037,0.435925888612714,0.9142,0.8678,0.11792930295712,0.522358413669906,0.8952,0.6969,0.102300906770731,0.487625994896498,0.9023,0.7821,0.0162787103899397,0.13076100306841,0.9282,1,0.0162787103899397,0.13076100306841,0.9282,1,0.0162787103899397,0.13076100306841,0.9282,1,0.0799217454944037,0.435925888612714,0.9142,0.8678,0.11792930295712,0.522358413669906,0.8952,0.6969,0.102300906770731,0.487625994896498,0.9023,0.7821,0.0698607723048772,0.374724150685433,0.9212,0.8531,0.0478679304008965,0.28755878374723,0.9277,0.9227
1.2,0,0.118733043264757,0.623166124789996,0.9334,0.9903,0.0905682584283939,0.271031438652908,0.9032,0.8452,0.0652565303974486,0.479970975705381,0.9197,0.8593,0.099048003387167,0.570055720969702,0.9093,0.6864,0.0875403376272347,0.528973556741439,0.9114,0.7699,0.013781473483756,0.118733043264757,0.9334,1,0.013781473483756,0.118733043264757,0.9334,1,0.013781473483756,0.118733043264757,0.9334,1,0.0652565303974486,0.479970975705381,0.9197,0.8593,0.099048003387167,0.570055720969702,0.9093,0.6864,0.0875403376272347,0.528973556741439,0.9114,0.7699,0.0587341438676239,0.406179998026633,0.9259,0.846,0.0413682672585759,0.272328498653306,0.9299,0.9168
1.3,0,0.108254683498442,0.538992994075068,0.9315,0.9909,0.0851672719629207,0.261763029860719,0.8999,0.8455,0.0626817341487562,0.37355592253522,0.9177,0.8591,0.09615696842202,0.477212872896498,0.9024,0.6746,0.0823648322497184,0.437629174977047,0.9086,0.7641,0.0111946031227153,0.108254683498442,0.9315,1,0.0111946031227153,0.108254683498442,0.9315,1,0.0111946031227153,0.108254683498442,0.9315,1,0.0626817341487562,0.37355592253522,0.9177,0.8591,0.09615696842202,0.477212872896498,0.9024,0.6746,0.0823648322497184,0.437629174977047,0.9086,0.7641,0.0550883901371482,0.314170964812975,0.9243,0.8522,0.0400749961890367,0.248369347392239,0.9271,0.9201
0,0.05,0.654350506801612,0.792160647964847,0.975,0.9813,0.350983855757371,0.645135458496113,0.974,0.7513,0.342826736453653,0.722289212895108,0.9728,0.9101,0.330846264444258,0.752056660496137,0.9726,0.7666,0.334815666300407,0.737699696936943,0.9726,0.8412,0.329541517675203,0.782707823314366,0.9769,0.0571,0.339144135564232,0.753162156569948,0.9753,0.1779,0.333910389753068,0.769608972718551,0.9757,0.1137,0.3282025990237,0.787081634546147,0.9769,0.0499,0.328417311917633,0.778337064936111,0.9753,0.1289,0.327569544487041,0.785625572600108,0.9759,0.0898,0.344292209832553,0.698677470092532,0.9732,0.8759,0.348165728813603,0.693150970147644,0.9737,0.9309
0.1,0.05,0.631479114133444,0.780624497100298,0.9768,0.9808,0.353386493931949,0.625586096550667,0.9764,0.7919,0.343482351398446,0.692818102829435,0.974,0.9135,0.328273816114959,0.732244866689242,0.9729,0.7716,0.336181070283,0.712093830503309,0.9738,0.8465,0.32246455109885,0.759587653163836,0.9772,0.1183,0.337750693195669,0.728560047208675,0.9757,0.2676,0.330412526583549,0.742401662112851,0.9764,0.1917,0.314546290643656,0.769402929197105,0.976,0.1039,0.31843902871911,0.771289287456246,0.9738,0.1943,0.317266222387303,0.766338839866013,0.9747,0.1541,0.349245499761564,0.661400755984149,0.9754,0.8755,0.35499769273814,0.648830046856298,0.9762,0.9357
0.2,0.05,0.545108169014484,0.773538194494832,0.9735,0.9854,0.324346755897999,0.565492238387241,0.9727,0.8241,0.310829860500269,0.654784812120176,0.9721,0.9083,0.306201495946945,0.712095834321871,0.9719,0.7557,0.309171875659344,0.686784105683093,0.9718,0.8371,0.325342449535357,0.686717812481906,0.9779,0.2982,0.326514037444809,0.639350223434988,0.9758,0.509,0.32690734523522,0.660882079430069,0.9766,0.4167,0.320332851791909,0.73008737739737,0.977,0.2632,0.313669667882271,0.739962501794813,0.9739,0.3739,0.316646570675107,0.731255717524124,0.9751,0.3392,0.312704980663597,0.605119081846393,0.9726,0.8734,0.311027168376695,0.584267491257952,0.9726,0.9324
0.3,0.05,0.443286077182912,0.758017289229545,0.9628,0.9874,0.285892412214319,0.498269800015544,0.9643,0.8436,0.267383889985204,0.598046765296115,0.9639,0.8938,0.285820748384565,0.701175731414394,0.9652,0.7419,0.279205692527056,0.661500024179429,0.9651,0.8154,0.2945340225562,0.584450490132031,0.9697,0.5385,0.270842932891358,0.495361328206713,0.9659,0.7434,0.279454679655952,0.520410309134089,0.9664,0.664,0.30242267538265,0.660288344468429,0.9697,0.4771,0.298594194654575,0.711389710560185,0.9675,0.5447,0.298123697368325,0.68338578194517,0.9682,0.5353,0.270079319988453,0.550318390777364,0.9641,0.8664,0.260635330626361,0.513513839372335,0.9621,0.927
0.4,0.05,0.356994778633308,0.744333376228678,0.9509,0.9871,0.245716528460062,0.443531641044548,0.9566,0.8513,0.22147137583887,0.572734380536692,0.9565,0.8804,0.242417838429424,0.662569970167529,0.9594,0.7183,0.232353960139349,0.627377527284697,0.9583,0.7994,0.222659315141839,0.438213717724147,0.96,0.7745,0.204419888282923,0.386414125909943,0.9542,0.8964,0.211057780850909,0.404483992617651,0.9559,0.8544,0.244201843954491,0.605682426402873,0.9593,0.6814,0.2498670461056,0.668461926357927,0.9603,0.6435,0.245486270895639,0.641984031645568,0.9601,0.6822,0.22315096219901,0.524511467444737,0.9589,0.8569,0.209686209755384,0.458397040203348,0.9522,0.9205
0.5,0.05,0.299283104114799,0.707613120284626,0.939,0.9841,0.212562202850395,0.416621406305202,0.945,0.8479,0.180666120488995,0.523362584988258,0.9425,0.879,0.208803183243259,0.626240605013201,0.949,0.718,0.193993493162842,0.585220329164171,0.9447,0.801,0.159869553402437,0.35133730782096,0.944,0.9157,0.148551273911166,0.323551382249294,0.9418,0.9726,0.152001290514604,0.336681456283239,0.9423,0.9536,0.193387941908418,0.545015748462843,0.9455,0.8063,0.210592156270725,0.632943259402025,0.9492,0.6995,0.198481285506194,0.594608086878347,0.9459,0.7656,0.183461067251446,0.459801726838666,0.9447,0.8586,0.168463903612343,0.396589114382111,0.9425,0.9192
